,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
1871,hangt,3.4680517914542377,3.34908316877959,3.879611907065851,4089,366,hangen,to hang,1,True,V
1872,is,5.976610385885594,3.906712056942964,6.276831601248094,4102,367,zijn,to be,97,True,V
1873,werden,3.659821158055705,3.4258601450778405,5.118506117461985,4114,368,worden,to become,31,True,V
1874,begeleid,2.296665190261531,2.271841606536499,2.814913181275074,4119,368,begeleiden,to accompany,1,True,V
1875,zit,4.666030998292724,3.8845688149183335,4.98949431277271,4126,369,zitten,to sit,5,True,V
1876,voorspelde,1.9637878273455553,1.9444826721501687,2.8808135922807914,4140,370,voorspellen,to predict,2,True,V
1877,werd,4.355164066515204,3.8138477542288545,5.118512729036299,4152,371,worden,to become,31,True,V
1878,beschuldigd,2.795184589682424,2.662757831681574,3.1832698436828046,4153,371,beschuldigen,"to accuse, blame",2,True,V
1879,werd,4.355164066515204,3.8138477542288545,5.118512729036299,4166,372,worden,to become,31,True,V
1880,gehaald,3.381295623003826,3.2732328340430454,4.549959129382749,4172,372,halen,"to fetch, get",3,True,V
1881,bewaart,2.436162647040756,2.3961993470957363,3.4742162640762553,4182,374,bewaren,"to keep, preserve",2,True,V
1882,eet,3.7051792448736762,3.4575791469957626,3.7052648623174043,4193,376,eten,to eat,3,True,V
1883,kreeg,3.8710472613054994,3.6121478383264867,4.819912271587856,4207,377,krijgen,to get,20,True,V
1884,kon,4.433753837516757,3.852601969338235,5.546674659069486,4218,378,kunnen,to be able,3,True,V
1885,zakken,3.344785122632661,3.1806992012960347,3.868526886768204,4223,378,zakken,"to fall, sink",1,True,V
1886,kreeg,3.8710472613054994,3.6121478383264867,4.819912271587856,4231,379,krijgen,to get,20,True,V
1887,gaat,4.995990381162591,3.9023836844324715,5.574487326922207,4246,380,gaan,to go,15,True,V
1888,lag,3.5804687839510017,3.401228167498113,4.512390854819099,4259,381,liggen,to be lying,5,True,V
1889,zonnen,2.0530784434834195,1.919078092376074,3.500236474825639,4263,381,zonnen,to sunbathe,1,True,V
1890,goot,2.423245873936808,2.3502480183341627,2.7686381012476144,4275,382,gieten,to pour,1,True,V
1891,toonden,1.7403626894942439,1.7160033436347992,3.4794313371977363,4292,383,tonen,to show,1,True,V
1892,gewerkt,3.5101426994025733,3.3690302218091532,4.572430116105044,4305,384,werken,to work,3,True,V
1893,hebben,5.176531121304757,3.9053640687668922,5.927078682055107,4307,384,hebben,to have,64,True,V
1894,startte,1.9912260756924949,1.968482948553935,3.2380461031287955,4308,384,starten,to start,1,True,V
1895,werd,4.355164066515204,3.8138477542288545,5.118512729036299,4317,385,worden,to become,31,True,V
1896,ontslagen,3.378942698613437,3.137670537236755,3.6896639650157703,4322,385,ontslaan,to discharge,1,True,V
1897,vallen,3.898396045930009,3.62490060220449,4.360706989248737,4328,386,vallen,to fall,6,True,V
1898,werd,4.355164066515204,3.8138477542288545,5.118512729036299,4341,387,worden,to become,31,True,V
1899,afgerond,2.303196057420489,2.250420002308894,2.6263403673750423,4346,387,afronden,to round up,1,True,V
1900,bellen,4.000173683058465,3.6240757311456826,4.55637487714974,4353,388,bellen,to ring,2,True,V
1901,zoekt,3.525044807036845,3.3811150807098507,4.433753837516757,4363,389,zoeken,to search,3,True,V
1902,reizen,3.15106325335375,3.0187004986662433,3.8140477209955996,4373,390,reizen,to travel,1,True,V
1903,leveren,2.9148718175400505,2.841359470454855,3.4394905903896835,4389,391,leveren,to supply,1,True,V
1904,liepen,2.7442929831226763,2.661812685537261,4.391129260417903,4399,392,lopen,to run,8,True,V
1905,vertrokken,3.2631624649622166,3.1354506993455136,3.991181757667873,4406,393,vertrekken,to depart,3,True,V
1906,was,5.36530262140015,3.905957699092427,6.276873384593224,4413,393,zijn,to be,97,True,V
1907,liepen,2.7442929831226763,2.661812685537261,4.391129260417903,4419,394,lopen,to run,8,True,V
1908,kopen,3.756864224060549,3.49220145139254,4.1101181270103275,4430,395,kopen,to buy,5,True,V
1909,logeren,2.745855195173729,2.6434526764861874,3.062581984228163,4445,396,logeren,"to stay, visit",1,True,V
1910,liepen,2.7442929831226763,2.661812685537261,4.391129260417903,4459,397,lopen,to run,8,True,V
1911,wonen,3.6726519228400023,3.436639631692661,4.151093922785061,4471,398,wonen,to live,1,True,V
